N iter1 iter2 matriz
409 0.000118 9.2e-05 0.001155
410 0.000117 9.6e-05 0.00115
411 0.000118 9.2e-05 0.001152
412 0.000118 0.0001 0.001167
413 0.000125 9.3e-05 0.001164
414 0.000119 9.3e-05 0.001167
415 0.000119 9.3e-05 0.001169
416 0.000119 9.4e-05 0.001179
417 0.00012 9.4e-05 0.001171
418 0.00012 9.4e-05 0.001179
419 0.00012 9.4e-05 0.001177
420 0.000122 9.5e-05 0.001186
421 0.000121 9.5e-05 0.001186
422 0.000122 9.5e-05 0.001188
423 0.000122 9.5e-05 0.001207
424 0.000122 9.5e-05 0.001195
425 0.000122 9.5e-05 0.001191
426 0.000122 9.6e-05 0.0012
427 0.000122 9.6e-05 0.001206
428 0.000123 9.6e-05 0.001206
429 0.000123 9.6e-05 0.001205
430 0.000127 9.7e-05 0.001207
431 0.000123 9.7e-05 0.001212
432 0.000123 9.7e-05 0.001216
433 0.000124 9.8e-05 0.001218
434 0.000124 9.7e-05 0.001237
435 0.000126 9.8e-05 0.001226
436 0.000125 9.8e-05 0.001224
437 0.000125 9.8e-05 0.001228
438 0.000126 9.8e-05 0.001232
439 0.000126 9.8e-05 0.001234
440 0.000125 9.9e-05 0.001237
441 0.000127 0.0001 0.001237
442 0.000126 9.9e-05 0.001242
443 0.000127 0.0001 0.001251
444 0.000127 0.0001 0.001249
445 0.000127 0.0001 0.001265
446 0.000129 0.0001 0.001257
447 0.000128 0.000101 0.001253
448 0.000128 0.000101 0.001276
449 0.000134 0.000101 0.001263
450 0.000129 0.000102 0.001268
451 0.000129 0.000102 0.001272
452 0.000129 0.000102 0.001271
453 0.00013 0.000101 0.001275
454 0.00013 0.000102 0.001284
455 0.00013 0.000102 0.00129
456 0.000131 0.000102 0.001305
457 0.000131 0.000103 0.001286
458 0.000131 0.000103 0.001296
459 0.000132 0.000104 0.001296
460 0.000132 0.000103 0.001294
461 0.000132 0.000103 0.001296
462 0.000132 0.000108 0.001311
463 0.000133 0.000104 0.001302
464 0.000132 0.000104 0.001312
465 0.000132 0.000105 0.001315
466 0.000134 0.000105 0.001313
467 0.000139 0.000105 0.001322
468 0.000134 0.000105 0.001313
469 0.000134 0.000106 0.001322
470 0.000134 0.000106 0.001322
471 0.000134 0.000106 0.001322
472 0.000134 0.000106 0.001332
473 0.000136 0.000107 0.001328
474 0.000136 0.000106 0.001334
475 0.000136 0.000107 0.001337
476 0.000136 0.000107 0.001335
477 0.000137 0.000107 0.001363
478 0.000137 0.000107 0.001344
479 0.000136 0.000108 0.001348
480 0.000137 0.000108 0.001348
481 0.000137 0.000108 0.001355
482 0.000137 0.000108 0.00136
483 0.000138 0.000108 0.001355
484 0.000138 0.000109 0.001361
485 0.000138 0.000109 0.001362
486 0.000139 0.000109 0.001374
487 0.000139 0.00011 0.001394
488 0.000141 0.00011 0.001383
489 0.00014 0.00011 0.00138
490 0.00014 0.00011 0.00138
491 0.00014 0.000111 0.001379
492 0.00014 0.000114 0.001387
493 0.000142 0.000111 0.001383
494 0.000141 0.000112 0.001393
495 0.000141 0.000111 0.001391
496 0.000142 0.000112 0.001402
497 0.000154 0.000111 0.001394
498 0.000143 0.000112 0.0014
499 0.000142 0.000112 0.001407
500 0.000143 0.000112 0.001409
501 0.000143 0.000112 0.00141
502 0.000143 0.000113 0.001408
503 0.000143 0.000113 0.001412
504 0.000144 0.000117 0.001413
505 0.000145 0.000114 0.001419
506 0.000145 0.000114 0.001427
507 0.000146 0.000114 0.001431
508 0.000146 0.000114 0.001434
509 0.000146 0.000114 0.00143
510 0.000147 0.000115 0.001435
511 0.000146 0.000115 0.00145
512 0.000155 0.000115 0.001445
513 0.000147 0.000115 0.001447
514 0.000148 0.000116 0.001443
515 0.000147 0.000116 0.001458
516 0.000148 0.000116 0.001449
517 0.000148 0.000116 0.001457
518 0.000148 0.00012 0.001455
519 0.000148 0.000116 0.001466
520 0.000148 0.000117 0.001467
521 0.00015 0.000117 0.001463
522 0.000151 0.000118 0.001485
523 0.000151 0.000117 0.001486
524 0.000151 0.000118 0.001479
525 0.000155 0.000118 0.001479
526 0.000152 0.000119 0.001483
527 0.000152 0.000119 0.001491
528 0.000153 0.000119 0.001487
529 0.000152 0.000119 0.001495
530 0.000153 0.00012 0.001497
531 0.000152 0.00012 0.001493
532 0.000152 0.00012 0.001497
533 0.000152 0.00012 0.001498
534 0.000156 0.00012 0.001497
535 0.000153 0.00012 0.001505
536 0.000153 0.00012 0.00151
537 0.000154 0.000121 0.001508
538 0.000154 0.000121 0.001516
539 0.000154 0.000121 0.001511
540 0.000154 0.000121 0.001523
541 0.000154 0.000122 0.001526
542 0.000156 0.000122 0.001538
543 0.000155 0.000122 0.001526
544 0.000155 0.000122 0.001527
545 0.000156 0.000127 0.001544
546 0.000156 0.000123 0.001531
547 0.000156 0.000123 0.001545
548 0.000157 0.000123 0.001544
549 0.000157 0.000124 0.001549
550 0.000158 0.000124 0.001544
551 0.000157 0.000124 0.001553
552 0.000157 0.000124 0.001554
553 0.000158 0.000124 0.001559
554 0.000158 0.000125 0.001559
555 0.00016 0.000125 0.001563
556 0.00016 0.000125 0.001569
557 0.00016 0.000126 0.001568
558 0.000161 0.00013 0.001567
559 0.000159 0.000126 0.001569
560 0.000159 0.000126 0.001585
561 0.00016 0.000126 0.001583
562 0.000161 0.000127 0.001586
563 0.000161 0.000127 0.001585
564 0.000161 0.000127 0.001593
565 0.000162 0.000127 0.001593
566 0.000161 0.000127 0.001589
567 0.000163 0.000127 0.001601
568 0.000162 0.000128 0.001598
569 0.000163 0.000128 0.001605
570 0.000163 0.000128 0.001602
571 0.000163 0.000128 0.001606
572 0.000163 0.000128 0.001609
573 0.000164 0.000129 0.001615
574 0.000165 0.000129 0.001622
575 0.000168 0.000129 0.001619
576 0.000166 0.00013 0.001621
577 0.000169 0.00013 0.001637
578 0.000165 0.00013 0.001621
579 0.000166 0.000134 0.001625
580 0.000165 0.00013 0.001631
581 0.000165 0.00013 0.001647
582 0.000168 0.000131 0.001634
583 0.000166 0.000131 0.001643
584 0.000168 0.000132 0.001642
585 0.000167 0.000131 0.001647
586 0.000167 0.000132 0.001652
587 0.000167 0.000132 0.001658
588 0.000168 0.000132 0.001654
589 0.000168 0.000133 0.001664
590 0.000168 0.000133 0.001656
591 0.000168 0.000132 0.001714
592 0.000171 0.000133 0.002054
593 0.000197 0.000164 0.001692
594 0.000184 0.000133 0.00167
595 0.000171 0.000141 0.001674
596 0.00017 0.000134 0.001673
597 0.00017 0.000138 0.00168
598 0.00017 0.000134 0.001677
599 0.000171 0.000138 0.001687
600 0.000171 0.000135 0.001725
601 0.000172 0.00014 0.001689
602 0.000172 0.000135 0.001712
603 0.000177 0.000135 0.001695
